artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists,type,duration,year,month,day_of_the_week
"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,82,True,0.554,0.498,A,-8.866,Major,0.0685,0.23,5.98e-06,0.795,0.413,79.635,4,,Studio Album,03:10,2019,May,Friday
"Tyler, The Creator",Thought I Was Dead (feat. ScHoolboy Q & Santigold),2aYHxnMF2umAavtgBvmkY1,CHROMAKOPIA,0U28P0QVB1QRxpqp5IHOlH,2024-10-28,81,True,0.77,0.859,A#/Bb,-3.382,Minor,0.275,0.362,0.0,0.673,0.64,129.77,4,"ScHoolboy Q, Santigold",Studio Album,03:27,2024,October,Monday
"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,89,True,0.558,0.559,F#/Gb,-9.222,Major,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,Kali Uchis,Studio Album,03:00,2017,July,Friday
"Tyler, The Creator",BEST INTEREST,3jHdKaLCkuNEkWcLVmQPCX,BEST INTEREST,5iUwaD3wFVwfaAfs9Z0eCh,2020-01-25,83,True,0.596,0.575,B,-8.325,Minor,0.0514,0.0861,0.000153,0.334,0.34,98.265,3,,Single,02:07,2020,January,Saturday
"Tyler, The Creator",Noid,1YdtGoSYDvVQKoUqSDXX41,CHROMAKOPIA,0U28P0QVB1QRxpqp5IHOlH,2024-10-28,82,True,0.38,0.784,C#/Db,-6.004,Major,0.299,0.523,0.000139,0.494,0.418,82.318,4,,Studio Album,04:44,2024,October,Monday
"Tyler, The Creator",ARE WE STILL FRIENDS?,5TxRUOsGeWeRl3xOML59Ai,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,80,True,0.216,0.497,A#/Bb,-8.025,Major,0.0371,0.128,2.39e-06,0.111,0.313,187.308,3,,Studio Album,04:25,2019,May,Friday
"Tyler, The Creator",Noid,1tnZxHryc2wWtjUZC1LQw5,Noid,4OjzAZXWalqQN5STXHPJdl,2024-10-21,82,True,0.38,0.77,C#/Db,-5.993,Major,0.242,0.473,0.000151,0.243,0.47,82.157,4,,Single,04:47,2024,October,Monday
"Tyler, The Creator",St. Chroma (feat. Daniel Caesar),1QoyuMHNBe7lg3YW4Qtll4,CHROMAKOPIA,0U28P0QVB1QRxpqp5IHOlH,2024-10-28,85,True,0.576,0.884,C,-5.058,Major,0.555,0.357,0.0,0.368,0.373,150.45,4,Daniel Caesar,Studio Album,03:17,2024,October,Monday
"Tyler, The Creator",I Killed You,3GdwjAsCsoE79ObhsJFyYb,CHROMAKOPIA,0U28P0QVB1QRxpqp5IHOlH,2024-10-28,80,True,0.749,0.896,D,-4.909,Major,0.219,0.356,0.00075,0.267,0.447,97.121,4,,Studio Album,02:48,2024,October,Monday
"Tyler, The Creator",NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,IGOR,5zi7WsKlIiUXv09tbGLKsE,2019-05-17,81,True,0.621,0.73,F,-5.414,Minor,0.107,0.0967,0.000131,0.673,0.464,139.566,4,,Studio Album,03:15,2019,May,Friday
